id,title,area,priority,status,verification_date,verifier,notes
AEP-001,Envelope 结构符合规范,AEP v1 协议,P0,TODO,,,
AEP-002,Init 握手（init / init_ack）,AEP v1 协议,P0,TODO,,,
AEP-003,Input 事件（C→S）,AEP v1 协议,P0,TODO,,,
AEP-004,State 事件（S→C — 状态变更）,AEP v1 协议,P0,TODO,,,
AEP-005,Message.delta 事件（S→C — 流式输出）,AEP v1 协议,P0,TODO,,,
AEP-006,Tool_call 和 Tool_result 事件,AEP v1 协议,P1,TODO,,,
AEP-007,Done 事件（S→C — 执行完成）,AEP v1 协议,P0,TODO,,,
AEP-008,Error 事件（双向 — 错误通知）,AEP v1 协议,P0,TODO,,,
AEP-009,Ping / Pong 事件（双向 — 心跳保活）,AEP v1 协议,P0,TODO,,,
AEP-010,Control 事件（双向 — 控制命令）,AEP v1 协议,P1,TODO,,,
AEP-011,Reasoning / Step / Raw / PermissionRequest / PermissionResponse 事件,AEP v1 协议,P2,TODO,,,
AEP-012,Message 事件（S→C — 完整消息）,AEP v1 协议,P1,TODO,,,
AEP-013,Session 状态机 — 5 状态,AEP v1 协议,P0,TODO,,,
AEP-014,Session 状态机 — 竞态防护,AEP v1 协议,P0,TODO,,,
AEP-015,Session GC 策略,AEP v1 协议,P1,TODO,,,
AEP-016,Backpressure — 有界通道与 delta 丢弃,AEP v1 协议,P0,TODO,,,
AEP-017,时序约束 — 事件顺序,AEP v1 协议,P0,TODO,,,
AEP-018,时序约束 — 时间限制,AEP v1 协议,P0,TODO,,,
AEP-019,断线重连（Reconnect / Resume）,AEP v1 协议,P0,TODO,,,
AEP-020,Worker 启动失败与 Crash 检测,AEP v1 协议,P0,TODO,,,
AEP-021,分层终止策略,AEP v1 协议,P0,TODO,,,
AEP-022,Seq 分配与去重,AEP v1 协议,P0,TODO,,,
AEP-023,Session 连接去重,AEP v1 协议,P0,TODO,,,
AEP-024,Minimal Compliance — 必须支持的事件,AEP v1 协议,P0,TODO,,,
AEP-025,Full Compliance — 可选扩展事件,AEP v1 协议,P1,TODO,,,
AEP-026,能力协商（Client Caps / Server Caps）,AEP v1 协议,P1,TODO,,,
AEP-027,Authentication — 握手阶段认证,AEP v1 协议,P0,TODO,,,
AEP-028,消息持久化与 Event Replay,AEP v1 协议,P1,TODO,,,
AEP-029,Executor 执行模型（Turn Event Flow）,AEP v1 协议,P0,TODO,,,
AEP-030,版本协商与兼容性,AEP v1 协议,P0,TODO,,,
GW-001,HTTP 握手 JWT 验证通过后升级为 WebSocket,WebSocket Gateway,P0,TODO,,,
GW-002,Init 握手协议正确处理会话创建与恢复,WebSocket Gateway,P0,TODO,,,
GW-003,心跳机制按规范间隔 ping 并检测对端失联,WebSocket Gateway,P0,TODO,,,
GW-004,同一 session_id 的新连接踢出旧连接,WebSocket Gateway,P0,TODO,,,
GW-005,Bridge 双向事件转发正确路由,WebSocket Gateway,P0,TODO,,,
GW-006,优雅关闭,WebSocket Gateway,P1,TODO,,,
GW-007,SeqGen 为每个 session 分配单调递增序号,WebSocket Gateway,P1,TODO,,,
GW-008,消息超长被拒绝,WebSocket Gateway,P1,TODO,,,
SM-001,SQLite WAL 模式启用且 busy_timeout 正确配置,Session 管理,P0,TODO,,,
SM-002,sessions 表 schema 与索引正确创建,Session 管理,P0,TODO,,,
SM-003,5 状态机转换规则被严格遵守,Session 管理,P0,TODO,,,
SM-004,GC 定时清理,Session 管理,P0,TODO,,,
SM-005,状态转换与 input 处理在同一互斥锁内原子完成,Session 管理,P0,TODO,,,
SM-006,mutex 显式命名 'mu'，零值安全，无 embedding,Session 管理,P1,TODO,,,
SM-007,SESSION_BUSY 错误码正确拒绝并发 input,Session 管理,P0,TODO,,,
SM-008,PoolManager 配额管理,Session 管理,P1,TODO,,,
WK-001,SessionConn 接口必须实现,Worker 抽象与进程管理,P0,TODO,,,
WK-002,Capabilities 接口正确声明各 Worker 类型能力,Worker 抽象与进程管理,P1,TODO,,,
WK-003,Claude Code Worker：--resume 恢复持久会话,Worker 抽象与进程管理,P1,TODO,,,
WK-004,OpenCode CLI Worker：无 --session-id，从 step_start 提取 sessionID,Worker 抽象与进程管理,P1,TODO,,,
WK-005,OpenCode Server Worker：HTTP+SSE 托管进程模式,Worker 抽象与进程管理,P2,TODO,,,
WK-006,Hot-multiplexing：持久 Worker 在 turn 之间保持进程存活,Worker 抽象与进程管理,P1,TODO,,,
WK-007,PGID 隔离：Setpgid=true 防止信号误伤 Gateway 进程,Worker 抽象与进程管理,P0,TODO,,,
WK-008,分层终止：SIGTERM → 5s grace period → SIGKILL,Worker 抽象与进程管理,P0,TODO,,,
WK-009,输出限制：64KB 初始 buffer，10MB 上限,Worker 抽象与进程管理,P0,TODO,,,
WK-010,Anti-pollution 触发重启：max_turns 或内存水位,Worker 抽象与进程管理,P1,TODO,,,
WK-011,Worker 进程僵死检测（LastIO）防止僵尸 IO 轮询,Worker 抽象与进程管理,P1,TODO,,,
WK-012,所有 goroutine 有明确 shutdown 路径，无泄漏,Worker 抽象与进程管理,P0,TODO,,,
SEC-001,JWT 必须使用 ES256 签名,安全,P0,TODO,,,
SEC-002,JWT Claims 必须包含完整结构,安全,P0,TODO,,,
SEC-003,Token 生命周期必须正确实施,安全,P0,TODO,,,
SEC-004,WebSocket 认证流程必须安全,安全,P0,TODO,,,
SEC-005,JTI 必须使用 crypto/rand 生成,安全,P0,TODO,,,
